"code","team","city","name","capacity","built","seat","lat","lon","lonlat","unique.team"
"AFG","National Stadium","Kabul","National Stadium",25000,"-","-",-33.4645423,-70.6106408261617,"-33.4645423:-70.6106408261617","national-stadium"
"AFG","Maiwand Kabul FC","Kabul","National Stadium",25000,"-","-",0,0,"0:0","maiwand-kabul-fc"
"AFG","Ordu Kabul FC","Kabul","Melat Stadium",10000,"-","-",-8.7130771,116.40689626153,"-8.7130771:116.40689626153","ordu-kabul-fc"
"AFG","Hakim Sanayi Kabul FC","Kabul","Hakim Sanayi Stadium",10000,"-","-",34.5553494,69.207486,"34.5553494:69.207486","hakim-sanayi-kabul-fc"
"ALB","National Stadium","Tirana","Stadiumi Qemal Stafa",19600,"-","all-seater",41.31824655,19.8240504519981,"41.31824655:19.8240504519981","national-stadium"
"ALB","Vllaznia Shkoder","Shkoder","Stadiumi Loro Boriçi",16000,"2001","all-seater",42.06999735,19.5065695315268,"42.06999735:19.5065695315268","vllaznia-shkoder"
"ALB","SK Elbasani","Elbasan","Elbasan Arena",15000,"2014","all-seater",41.1159505,20.0919420874373,"41.1159505:20.0919420874373","sk-elbasani"
"ALB","Tomori Berat","Berat","Stadiumi Tomori",14500,"-","-",40.6990081,19.9644139546989,"40.6990081:19.9644139546989","tomori-berat"
"ALB","Dinamo Tirana","Tirana","Stadiumi Selman Stërmasi",12500,"-","-",41.3190845,19.8113018,"41.3190845:19.8113018","dinamo-tirana"
"ALB","Partizan Tirana","Tirana","Stadiumi Selman Stërmasi",12500,"-","-",0,0,"0:0","partizan-tirana"
"ALB","SK Tirana","Tirana","Stadiumi Selman Stërmasi",12500,"-","-",0,0,"0:0","sk-tirana"
"ALB","Skenderbeu Korçe","Korçe","Stadiumi Skenderbeu",12000,"-","all-seater",40.62616,20.7828795786576,"40.62616:20.7828795786576","skenderbeu-korçe"
"ALB","Lushnja","Lushnja","Stadiumi Roza Haxhiu",12000,"-","-",40.9355764,19.709842985996,"40.9355764:19.709842985996","lushnja"
"ALB","Teuta Durres","Durres","Stadiumi Niko Dovana",12000,"-","-",41.3259952,19.4498673080439,"41.3259952:19.4498673080439","teuta-durres"
"ALB","Flamurtari Vlore","Vlore","Stadiumi Flamurtari",8500,"-","-",40.45571225,19.4887869464073,"40.45571225:19.4887869464073","flamurtari-vlore"
"ALB","Shqiponja Gjirokaster","Gjirokaster","Stadiumi Subi Bakiri",8400,"-","-",40.0811813,20.1380122255974,"40.0811813:20.1380122255974","shqiponja-gjirokaster"
"ALB","Besa Kavaje","Kavaje","Stadiumi Besa",8000,"-","-",41.1883409,19.5533296856011,"41.1883409:19.5533296856011","besa-kavaje"
"ALB","Bylis Ballsh","Bylis","Stadiumi Agush Muça",6500,"-","-",NA,NA,"NA:NA","bylis-ballsh"
"ALB","Apolonia Fier","Fier","Stadiumi Loni Papuçiu",6000,"-","-",40.72085535,19.5520061617035,"40.72085535:19.5520061617035","apolonia-fier"
"ALB","Shkumbini Peqin","Peqin","Stadiumi Peqin",6000,"-","-",41.04194045,19.7521219878146,"41.04194045:19.7521219878146","shkumbini-peqin"
"ALB","FK Kukesi","Kukes","Stadiumi Zeqir Ymeri",6000,"-","-",42.0790967,20.42027745,"42.0790967:20.42027745","fk-kukesi"
"ALB","Albpetrol Patos","Patos","Stadiumi Alush Noga",5000,"-","-",NA,NA,"NA:NA","albpetrol-patos"
"ALB","Laci","Laci","Stadiumi Laci",5000,"-","-",41.93395205,12.4547230745272,"41.93395205:12.4547230745272","laci"
"ALB","Beselidhja Lezhe","Lezhe","Stadiumi Beselidhja",5000,"-","-",41.7759772,19.6447609965673,"41.7759772:19.6447609965673","beselidhja-lezhe"
"ALB","Erzeni Shijak","Shijak","Stadiumi Teufik Jashari",4000,"-","-",41.3456784,19.5556895955275,"41.3456784:19.5556895955275","erzeni-shijak"
"ALB","Albania Tabak Librazhd","Librazhd","Stadiumi Sopoti",3000,"-","-",41.048126,20.3079958,"41.048126:20.3079958","albania-tabak-librazhd"
"DZA","National Stadium","Algiers","Stade 5 Juillet 1962",64000,"1976","all-seater",36.75951425,2.99541222072309,"36.75951425:2.99541222072309","national-stadium"
"DZA","MC Alger","Algiers","Stade 5 Juillet 1962",64000,"1976","all-seater",0,0,"0:0","mc-alger"
"DZA","USM Annaba","Annaba","Stade 19 Mai 1956",50000,"-","all-seater",36.8858603,7.73307472743826,"36.8858603:7.73307472743826","usm-annaba"
"DZA","USM Bel Abbès","Sidi Bel Abbès","Stade 24 Février 1956",45000,"-","-",35.1851517,-0.622006172763713,"35.1851517:-0.622006172763713","usm-bel-abbès"
"DZA","CS/MO Constantine","Constantine","Stade Mohamed-Hamlaoui",45000,"1973","all-seater",36.3493401,6.62596235642723,"36.3493401:6.62596235642723","cs/mo-constantine"
"DZA","JS Djijel","Jijel","Stade Rouibah Hocine",40000,"-","-",36.8109348,5.7428260847934,"36.8109348:5.7428260847934","js-djijel"
"DZA","USM Blida","Blida","Stade Moustapha Tchaker",37000,"-","-",36.4908344,2.84701303113845,"36.4908344:2.84701303113845","usm-blida"
"DZA","MC Saida","Saida","Stade Olympique",35000,"-","-",35.8235054,10.6126357250745,"35.8235054:10.6126357250745","mc-saida"
"DZA","MC Oran","Oran","Stade Ahmed Zabana",32000,"-","-",35.683357,-0.636515509833405,"35.683357:-0.636515509833405","mc-oran"
"DZA","JSM Tiaret","Tiaret","Stade Ahmed-Kaïd",30000,"-","-",35.36224835,1.33089956031871,"35.36224835:1.33089956031871","jsm-tiaret"
"DZA","RC Relizane","Relizane","Stade Tahar Zoughari",30000,"-","-",35.7327357,0.544970037988309,"35.7327357:0.544970037988309","rc-relizane"
"DZA","MC El Eulma","El Eulma","Stade Messaoud Zougar",25000,"-","-",36.14430605,5.72252499675445,"36.14430605:5.72252499675445","mc-el-eulma"
"DZA","ES Sétif","Sétif","Stade 8 Mai 1945",25000,"-","-",36.18719715,5.39317442976762,"36.18719715:5.39317442976762","es-sétif"
"DZA","GC Mascara","Mascara","Stade Unité Africaine",22000,"-","-",35.38826155,0.159165979755923,"35.38826155:0.159165979755923","gc-mascara"
"DZA","CA Batna","Batna","Stade 1er Novembre",20000,"1979","-",35.55731635,6.18793385179753,"35.55731635:6.18793385179753","ca-batna"
"DZA","JS Kabylie","Tizi-Ouzou","Stade 1er Novembre",20000,"-","-",0,0,"0:0","js-kabylie"
"DZA","ASM Oran","Oran","Stade Habib Bouakeul",20000,"-","-",35.67920395,-0.675684579567575,"35.67920395:-0.675684579567575","asm-oran"
"DZA","JS Saoura","Béchar","Stade 20 Août 1955",20000,"-","-",36.7453223,3.07817611632254,"36.7453223:3.07817611632254","js-saoura"
"DZA","JSM Skikda","Skikda","Stade 20 Août 1955",20000,"-","-",0,0,"0:0","jsm-skikda"
"DZA","WA Tlemcen","Tlemcen","Stade Akit Lotfi",18000,"-","-",35.7455779,-0.5685617,"35.7455779:-0.5685617","wa-tlemcen"
"DZA","MO/JSM Béjaïa","Béjaïa","Stade de l'Unité Maghrébine",18000,"-","-",36.74937935,5.04626503347939,"36.74937935:5.04626503347939","mo/jsm-béjaïa"
"DZA","ASO Chlef","Chlef","Stade Boumezrag Mohamed",18000,"-","-",36.16153035,1.3087470002753,"36.16153035:1.3087470002753","aso-chlef"
"DZA","MC/USM Alger","Algiers","Stade Omar Hamadi",17500,"-","-",36.8009653,3.0481810052731,"36.8009653:3.0481810052731","mc/usm-alger"
"DZA","CR Belouizdad","Algiers","Stade 20 Août 1955",15000,"-","-",0,0,"0:0","cr-belouizdad"
"DZA","CA Bordj Bou Arreridj","Bordj Bou Arreridj","Stade du 20 Août 1955",15000,"-","all-seater",36.069335,4.78611111957289,"36.069335:4.78611111957289","ca-bordj-bou-arreridj"
"DZA","ES Mostaganem","Mostaganem","Stade Mohamed-Bensaïd",15000,"-","-",35.9305198,0.0826741,"35.9305198:0.0826741","es-mostaganem"
"DZA","ES Guelma","Guelma","Stade Souidani-Boudjemaa",15000,"1986","-",36.4687851,7.44613625425117,"36.4687851:7.44613625425117","es-guelma"
"DZA","Olympique de Médéa","Médéa","Stade Imam-Lyes",12000,"-","-",36.2618736,2.76958364303394,"36.2618736:2.76958364303394","olympique-de-médéa"
"DZA","US Tébassa","Tébassa","Stade du 4 Mars",11000,"-","all-seater",35.4176876,8.06879597658758,"35.4176876:8.06879597658758","us-tébassa"
